,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
15,108年01月01日 00時30分00秒,金門縣金寧鄉盤果路「W民宿」路口,死亡0;受傷2,普通重型-機車;普通重型-機車,118.33711000000001,24.444785
163,108年01月01日 07時26分00秒,金門縣金湖鎮環島東路四段埔華路路口,死亡0;受傷1,普通重型-機車;自用-小客車,118.446215,24.454174
472,108年01月01日 14時23分50秒,金門縣金寧鄉伯玉路一段、伯玉路一段212巷路口,死亡0;受傷4,普通重型-機車;普通重型-機車;乘客-人;乘客-人,118.32652399999999,24.434317999999998
1030,108年01月02日 07時58分43秒,金門縣金沙鎮環中路2928號路燈前路段,死亡0;受傷1,普通重型-機車,118.38672,24.459334
1659,108年01月02日 17時13分20秒,金門縣金湖鎮環島東路五段0466號路燈桿前,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通輕型-機車,118.440896,24.429289999999998
2988,108年01月03日 19時58分01秒,金門縣金寧鄉環島西路二段(埔後往頂埔下路段),死亡0;受傷2,普通重型-機車;普通重型-機車,118.318572,24.447209
3080,108年01月03日 22時26分00秒,金門縣金湖鎮塔后126之12號前路段,死亡0;受傷1,自用-小客車;普通重型-機車,118.407877,24.437374
3810,108年01月04日 16時37分51秒,金門縣金湖鎮市港六路、自強路口,死亡0;受傷1,普通重型-機車;自用-小客車,118.414299,24.438919
3889,108年01月04日 17時26分47秒,金門縣金城鎮民族路302號前方路段,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),118.31438200000001,24.430670000000003
4369,108年01月05日 08時00分00秒,金門縣金城鎮泰仰路山前路段,死亡0;受傷2,普通重型-機車;電動自行車-慢車,118.31433899999999,24.41662
4500,108年01月05日 10時05分41秒,金門縣金城鎮伯玉路桃園路口,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,118.32453899999999,24.432451999999998
5003,108年01月05日 19時13分07秒,金門縣金城鎮環島北路一段文化局前,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),118.323283,24.440843
5383,108年01月06日 10時51分00秒,金門縣金寧鄉柏玉路一段218-5號,死亡0;受傷2,普通重型-機車;普通重型-機車,118.327445,24.435662
5648,108年01月06日 16時30分23秒,金門縣金城鎮民生路15之4號前,死亡0;受傷1,自用-小客車;普通重型-機車,118.319828,24.434058
6309,108年01月07日 12時02分00秒,金門縣金城鎮中興路28號前,死亡0;受傷1,普通重型-機車;自用-小客車,118.31664599999999,24.43251
6566,108年01月07日 16時48分00秒,金門縣金寧鄉伯玉路一段359-1號「金豐租車」前,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,118.32918899999999,24.438063
6647,108年01月07日 17時47分00秒,金門縣金湖鎮環島南路四段陶瓷廠前路段,死亡0;受傷1,普通重型-機車;普通重型-機車,118.40863799999998,24.436481
7367,108年01月08日 12時43分32秒,金門縣金寧鄉伯玉路一段(金門縣公教福利中心),死亡0;受傷1,自用-小客車;自用-小客車,118.328705,24.437195000000003
7441,108年01月08日 14時25分00秒,金門縣金城鎮中興路173巷2號前,死亡0;受傷1,電動自行車-慢車;行人-人,118.319101,24.434165
7648,108年01月08日 17時50分00秒,金門縣金寧鄉林湖路「京舜回收場」前,死亡0;受傷1,自用-小客車;普通重型-機車,118.32956000000001,24.439427
8413,108年01月09日 12時45分13秒,金門縣金寧鄉環島北路二段東堡段(048燈桿),死亡0;受傷1,自用-小客車,118.34346000000001,24.450805
8562,108年01月09日 15時47分28秒,金門縣金湖鎮三多路三谿橋6-1-前路口,死亡0;受傷1,自用-大貨車;普通重型-機車,118.432197,24.433897
8587,108年01月09日 16時17分05秒,金門縣金城鎮民權路元大銀行前,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,118.319759,24.438637
8595,108年01月09日 16時23分16秒,金門縣金寧鄉環島西路二段91巷口對面,死亡0;受傷1,自用-小客車;普通重型-機車,118.319356,24.444858
8735,108年01月09日 18時00分02秒,金門縣金寧鄉埔後115號前方路口,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),118.316515,24.441747
8906,108年01月09日 20時11分07秒,金門縣金城鎮民生路與民生路11巷口,死亡0;受傷1,自用-小客車;普通重型-機車,118.31993600000001,24.4338
8978,108年01月09日 22時04分36秒,金門縣金湖鎮新市圓環,死亡0;受傷1,自用-小客車;普通重型-機車,118.413303,24.440607
10524,108年01月11日 12時42分21秒,金門縣金寧鄉榜林圓環,死亡0;受傷1,計程車-小客車;普通重型-機車,118.330482,24.439014
11001,108年01月11日 19時42分49秒,金門縣金城鎮西海路三段23號旁,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,118.311981,24.422264000000002
11019,108年01月11日 20時00分50秒,金門縣金城鎮西海路二段燈桿4839號旁,死亡0;受傷2,普通重型-機車;乘客-人,118.31551,24.432064999999998
11354,108年01月12日 09時56分00秒,金門縣金城鎮民權路、民生路路口,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,118.31836100000001,24.437103
11932,108年01月12日 19時23分00秒,金門縣金湖鎮環島南路四段台客檳榔前路口,死亡0;受傷1,自用-小客車;普通重型-機車,118.40756499999999,24.437442
13175,108年01月14日 09時37分04秒,金門縣金寧鄉環島北路二段后盤山路口,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),118.352328,24.452254999999997
13246,108年01月14日 10時52分52秒,金門縣金寧鄉榜林圓環,死亡0;受傷1,普通重型-機車;自用-小客車,118.330482,24.439014
13470,108年01月14日 14時47分57秒,金門縣金湖鎮新市圓環,死亡0;受傷2,普通重型-機車;普通重型-機車,118.413202,24.440796
13489,108年01月14日 15時06分47秒,金門縣金寧鄉環島北路一段、林湖路口,死亡0;受傷1,普通重型-機車;自用-小客車,118.33138899999999,24.423057999999997
13502,108年01月14日 15時15分00秒,金門縣金寧鄉堡山路(燈柱00396),死亡0;受傷1,動力機械-其他車;營業用-大貨車;普通重型-機車,118.34116200000001,24.446873
13509,108年01月14日 15時25分25秒,金門縣金寧鄉伯玉路一段224巷、伯玉路一段路口,死亡0;受傷1,普通重型-機車;自用-小客車,118.326922,24.43675
14197,108年01月15日 09時27分24秒,金門縣金沙鎮環島東路二段0286號路燈桿前路段,死亡0;受傷1,自用-小客車;普通輕型-機車,118.42880500000001,24.477389000000002
14206,108年01月15日 09時41分24秒,金門縣金寧鄉伯玉路二段盤果路口,死亡0;受傷1,普通輕型-機車;自用-小客車,118.340263,24.441098
15474,108年01月16日 13時09分22秒,金門縣金城鎮西海路三段22巷4弄18號旁,死亡0;受傷1,普通重型-機車;自用-小客車,118.308995,24.419221
15775,108年01月16日 17時43分50秒,金門縣金城鎮環島北路96號旁,死亡0;受傷2,普通重型-機車;普通重型-機車,118.32351200000001,24.441966
15919,108年01月16日 19時14分02秒,金門縣金城鎮環島北路一段96之2號前,死亡0;受傷1,普通重型-機車;自用-小客車,118.324178,24.442484
16783,108年01月17日 17時01分00秒,金門縣金湖鎮環島南路三段機場圓環,死亡0;受傷1,普通重型-機車;自用-小客車,118.36420600000001,24.438088
17118,108年01月17日 22時55分00秒,金門縣金湖鎮伯玉路四段1149號路燈桿前路段,死亡0;受傷1,普通輕型-機車,118.379894,24.446976
17692,108年01月18日 13時20分43秒,金門縣金城鎮民權路184巷(鳳尾溝),死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,118.319078,24.439404999999997
17954,108年01月18日 16時52分06秒,金門縣金寧鄉伯玉路一段359之1號(轟專業汽車美容)前,死亡0;受傷1,自用-小客車;普通重型-機車,118.32906100000001,24.437835
18043,108年01月18日 17時37分48秒,金門縣金城鎮東門圓環,死亡0;受傷2,普通重型-機車;行人-人,118.321583,24.431525
19109,108年01月19日 17時57分48秒,金門縣金城鎮民權路228號(摩斯漢堡)前路口,死亡0;受傷1,自用-小客車;普通重型-機車,118.32033899999999,24.439288
19334,108年01月19日 23時25分00秒,金門縣金湖鎮環島北路三段0126號路燈桿前路段,死亡0;受傷1,自用-小客車;普通重型-機車,118.38283999999999,24.460299
19561,108年01月20日 10時58分20秒,金門縣金城鎮北堤路30號前,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,118.320199,24.429446
19682,108年01月20日 13時20分00秒,金門縣金城鎮浯江路19號「廣濟中醫」前,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,118.32558700000001,24.426083
19753,108年01月20日 14時50分09秒,金門縣金城鎮水頭碼頭,死亡0;受傷1,計程車-小客車;普通重型-機車,118.286425,24.416265
